row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
Operation Vigilant Warrior_Q1838811,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Southern Watch_Q2026406,Operation Vigilant Warrior_Q1838811,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle for Jalibah Airfield_Q4870165,NA,NA,NA,NA,NA
Battle of 73 Easting_Q1402530,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of 73 Easting_Q1402530,NA,NA,NA,NA,NA
Battle of Ad-Dawrah_Q4870215,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Ad-Dawrah_Q4870215,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Al Busayyah_Q3636316,NA,NA,NA,NA,NA
Battle of Khafji_Q718770,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Khafji_Q718770,NA,NA,NA,NA,NA
Battle of Kuwait International Airport_Q19428991,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Kuwait International Airport_Q19428991,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Medina Ridge_Q1634629,NA,NA,NA,NA,NA
Battle of Norfolk_Q3636553,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Norfolk_Q3636553,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Phase Line Bullet_Q3636571,NA,NA,NA,NA,NA
Battle of Qurah and Umm al Maradim_Q4872147,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Qurah and Umm al Maradim_Q4872147,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Rumaila_Q4872216,NA,NA,NA,NA,NA
Battle of Wadi Al-Batin_Q3636251,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Battle of Wadi Al-Batin_Q3636251,NA,NA,NA,NA,NA
Operation Senior Surprise_Q85790978,intervention,Gulf War_Q37643,Liberation of Kuwait campaign_Q6541036,Operation Senior Surprise_Q85790978,NA,NA,NA,NA,NA
