"","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9"
"135","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Alabama_",NA
"136","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Alaska_",NA
"137","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation All American Tiger_",NA
"138","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Aloha_",NA
"139","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Ameliyet_",NA
"140","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Anchorage_",NA
"141","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arctic Sunrise_",NA
"142","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arizona_",NA
"143","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arrowhead Blizzard_",NA
"144","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arrowhead Strike 10_",NA
"145","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arrowhead Strike 9_",NA
"146","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Arrowhead Strike III_",NA
