Republic of Serbian Krajina,Q211853,1,1
Revolutionaries in the Land of Deir ez-Zor,NA,1,2
Revolutionary Committee/Supreme Political Council,Q26244385,1,1
Rogue elements among the Iraqi security forces,NA,1,1
Salafia Jihadia,Q3469483,1,1
Salafist Group for Preaching and Combat,Q311841,1,1
SCIRI,Q718723,2,3
Secret Islamic Army of Iraq,NA,1,1
Serbian Krajina,Q211853,1,1
SFP,NA,1,1
Sheikh Omar Hadid Brigade,Q20050674,2,3
Shia insurgents,NA,1,1
Shia tribes,NA,1,1
Shura Council of Benghazi Revolutionaries,Q17502017,1,1
Sinai Province,Q21070586,2,3
SNA,Q1679059,1,1
SNM,Q1788421,1,1
Soldiers of Egypt,NA,1,1
Soldiers of Heaven,Q3043382,1,1
Soldiers of the Filipino People,NA,1,1
Somali National Alliance,Q1679059,1,1
South Ossetia,Q23427,1,1
Special Groups,Q7574579,2,3
Special Tasks Battalion,NA,1,1
SPM,Q1766415,1,1
SSDF,Q7568575,1,1
Sunni insurgents,NA,1,1
Sunni mujahideen,NA,1,1
Sunni tribes,NA,1,1
Supreme Command for Jihad and liberation,Q7644811,1,1
Supreme Command for Jihad and Liberation,Q7644811,1,1
Suspected Taliban insurgents,Q42418,2,3
Syrian opposition,NA,1,2
Tahrir al-Sham,Q28540613,1,2
Taliban,Q42418,2,3
Taliban insurgency,Q42418,2,3
Taliban insurgents,Q42418,2,3
Taliban splinter groups,NA,1,1
Taliban-aligned groups,NA,1,1
Tanzeem-e-Nifaz-e-Shariat-e-Mohammadi,Q690419,1,1
Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn,Q1076058,2,3
Tawhid al-Jihad - Gaza Strip,Q6123015,2,3
Tehreek-e-Khilafat,NA,1,1
Tehreek-e-Nafaz-e-Shariat-e-Mohammadi,Q690419,1,1
Tehrik-i-Taliban Pakistan,NA,2,3
Thar Allah,NA,2,3
TNSM,Q690419,1,1
Tunisian Combatant Group,NA,1,1
Turaifie group,Q24910076,1,1
Turkey Syrian opposition,Q29025768,1,2
Turkish-backed Free Syrian Army,NA,1,2
Turkistan Islamic Party,Q1674170,1,2
Ubqa ibn Nafi Brigade,NA,1,1
United Somali Congress,Q946770,1,1
Uzbek Islamic Movement,NA,1,1
Wagner Group,Q36597284,1,1
Western Bosnia,Q192262,2,3
White Flags,Q54873796,1,1
Wilayat al-Fallujah,Q2429253,2,3
Wilayat al-Sham,Q2429253,2,3
Wilayat Barqa,Q19824111,2,3
Wilayat Khorasan,Q21070585,2,3
Wilayat Sinai,Q15646812,2,3
